,Nombres,Anteriores,Ultimos,Difs,Maximos,Minimos,Fechas,Horas,Difs_Anno_2019
0,IBEX 35®,"9.445,40","9.479,20","0,36","9.509,20","9.390,20",12/04/2019,15:26,"11,00"
1,IBEX 35® con Dividendos,"26.641,40","26.736,50","0,36","26.821,20","26.485,60",12/04/2019,15:26,"12,15"
2,IBEX MEDIUM CAP®,"13.669,90","13.678,60","0,06","13.707,20","13.605,70",12/04/2019,15:26,"5,27"
3,IBEX SMALL CAP®,"6.663,10","6.680,10","0,26","6.686,40","6.655,80",12/04/2019,15:26,"9,75"
4,IBEX 35® Bancos,"574,00","586,20","2,13","591,70","567,20",12/04/2019,15:26,"9,47"
5,IBEX 35® Energía,"1.314,60","1.304,90","-0,74","1.319,50","1.304,90",12/04/2019,15:26,"8,46"
6,IBEX 35® Construcción,"1.515,90","1.512,90","-0,20","1.517,80","1.510,70",12/04/2019,15:24,"22,27"
7,IBEX TOP Dividendo®,"2.962,10","2.977,20","0,51","2.983,10","2.943,30",12/04/2019,15:26,"8,90"
8,IBEX 35® con Dividendos Netos,"22.639,10","22.719,90","0,36","22.791,90","22.506,80",12/04/2019,15:26,"11,93"
9,IBEX 35® Inverso,"2.590,40","2.581,00","-0,36","2.605,50","2.572,90",12/04/2019,15:26,"-11,30"
10,IBEX 35® Doble Inverso,"387,40","384,60","-0,72","391,90","382,20",12/04/2019,15:26,"-21,61"
11,IBEX 35® Triple Inverso,"26,00","25,70","-1,15","26,50","25,50",12/04/2019,15:26,"-30,54"
12,IBEX 35® Inverso X5,"10,30","10,10","-1,94","10,60","10,00",12/04/2019,15:26,"-48,99"
13,IBEX 35® Inverso X10,"323,70","312,00","-3,61","342,60","301,80",12/04/2019,15:26,"-75,38"
14,IBEX 35® Doble Apalancado,"5.504,70","5.544,60","0,72","5.579,00","5.440,30",12/04/2019,15:26,"22,62"
15,IBEX 35® Doble Apalancado Bruto,"21.967,20","22.126,20","0,72","22.263,60","21.710,10",12/04/2019,15:26,"25,19"
16,IBEX 35® Doble Apalancado Neto,"18.830,10","18.966,40","0,72","19.084,20","18.609,90",12/04/2019,15:26,"24,70"
17,IBEX 35® Triple Apalancado,"1.129,10","1.141,40","1,09","1.152,00","1.109,30",12/04/2019,15:26,"34,87"
18,IBEX 35® Triple Apalancado Neto,"10.943,60","11.062,40","1,09","11.165,00","10.751,60",12/04/2019,15:26,"38,33"
19,IBEX 35® Apalancado Neto X5,"2.171,70","2.211,00","1,81","2.244,90","2.108,20",12/04/2019,15:26,"68,10"
20,IBEX 35® Apalancado Neto X10,"2.232,10","2.312,80","3,62","2.382,60","2.101,50",12/04/2019,15:26,"154,94"
